iteration = 0
('W', 1, 1, 'R', 0):NONE=[0]
('W', 1, 1, 'R', 25):SHOOT=[-7.5]
('W', 1, 1, 'R', 50):SHOOT=[-20.0]
('W', 1, 1, 'R', 75):SHOOT=[-20.0]
('W', 1, 1, 'R', 100):SHOOT=[-20.0]
('W', 1, 2, 'D', 0):NONE=[0]
('W', 1, 2, 'D', 25):SHOOT=[-7.5]
('W', 1, 2, 'D', 50):SHOOT=[-20.0]
('W', 1, 2, 'D', 75):SHOOT=[-20.0]
('W', 1, 2, 'D', 100):SHOOT=[-20.0]
('W', 1, 2, 'R', 0):NONE=[0]
('W', 1, 2, 'R', 25):SHOOT=[-7.5]
('W', 1, 2, 'R', 50):SHOOT=[-20.0]
('W', 1, 2, 'R', 75):SHOOT=[-20.0]
('W', 1, 2, 'R', 100):SHOOT=[-20.0]
('W', 1, 3, 'D', 0):NONE=[0]
('W', 1, 3, 'D', 25):SHOOT=[-7.5]
('W', 1, 3, 'D', 50):SHOOT=[-20.0]
('W', 1, 3, 'D', 75):SHOOT=[-20.0]
('W', 1, 3, 'D', 100):SHOOT=[-20.0]
('W', 1, 3, 'R', 0):NONE=[0]
('W', 1, 3, 'R', 25):SHOOT=[-7.5]
('W', 1, 3, 'R', 50):SHOOT=[-20.0]
('W', 1, 3, 'R', 75):SHOOT=[-20.0]
('W', 1, 3, 'R', 100):SHOOT=[-20.0]
('W', 2, 0, 'D', 0):NONE=[0]
('W', 2, 0, 'D', 25):RIGHT=[-20.0]
('W', 2, 0, 'D', 50):RIGHT=[-20.0]
('W', 2, 0, 'D', 75):RIGHT=[-20.0]
('W', 2, 0, 'D', 100):RIGHT=[-20.0]
('W', 2, 0, 'R', 0):NONE=[0]
('W', 2, 0, 'R', 25):RIGHT=[-20.0]
('W', 2, 0, 'R', 50):RIGHT=[-20.0]
('W', 2, 0, 'R', 75):RIGHT=[-20.0]
('W', 2, 0, 'R', 100):RIGHT=[-20.0]
('W', 2, 1, 'D', 0):NONE=[0]
('W', 2, 1, 'D', 25):SHOOT=[-7.5]
('W', 2, 1, 'D', 50):SHOOT=[-20.0]
('W', 2, 1, 'D', 75):SHOOT=[-20.0]
('W', 2, 1, 'D', 100):SHOOT=[-20.0]
('W', 2, 1, 'R', 0):NONE=[0]
('W', 2, 1, 'R', 25):SHOOT=[-7.5]
('W', 2, 1, 'R', 50):SHOOT=[-20.0]
('W', 2, 1, 'R', 75):SHOOT=[-20.0]
('W', 2, 1, 'R', 100):SHOOT=[-20.0]
('W', 2, 2, 'D', 0):NONE=[0]
('W', 2, 2, 'D', 25):SHOOT=[-7.5]
('W', 2, 2, 'D', 50):SHOOT=[-20.0]
('W', 2, 2, 'D', 75):SHOOT=[-20.0]
('W', 2, 2, 'D', 100):SHOOT=[-20.0]
('W', 2, 2, 'R', 0):NONE=[0]
('W', 2, 2, 'R', 25):SHOOT=[-7.5]
('W', 2, 2, 'R', 50):SHOOT=[-20.0]
('W', 2, 2, 'R', 75):SHOOT=[-20.0]
('W', 2, 2, 'R', 100):SHOOT=[-20.0]
('W', 2, 3, 'D', 0):NONE=[0]
('W', 2, 3, 'D', 25):SHOOT=[-7.5]
('W', 2, 3, 'D', 50):SHOOT=[-20.0]
('W', 2, 3, 'D', 75):SHOOT=[-20.0]
('W', 2, 3, 'D', 100):SHOOT=[-20.0]
('W', 2, 3, 'R', 0):NONE=[0]
('W', 2, 3, 'R', 25):SHOOT=[-7.5]
('W', 2, 3, 'R', 50):SHOOT=[-20.0]
('W', 2, 3, 'R', 75):SHOOT=[-20.0]
('W', 2, 3, 'R', 100):SHOOT=[-20.0]
('S', 0, 0, 'D', 0):NONE=[0]
('S', 0, 0, 'D', 25):GATHER=[-20.0]
('S', 0, 0, 'D', 50):GATHER=[-20.0]
('S', 0, 0, 'D', 75):GATHER=[-20.0]
('S', 0, 0, 'D', 100):GATHER=[-20.0]
('S', 0, 0, 'R', 0):NONE=[0]
('S', 0, 0, 'R', 25):GATHER=[-20.0]
('S', 0, 0, 'R', 50):GATHER=[-20.0]
('S', 0, 0, 'R', 75):GATHER=[-20.0]
('S', 0, 0, 'R', 100):GATHER=[-20.0]
('S', 0, 1, 'D', 0):NONE=[0]
('S', 0, 1, 'D', 25):GATHER=[-20.0]
('S', 0, 1, 'D', 50):GATHER=[-20.0]
('S', 0, 1, 'D', 75):GATHER=[-20.0]
('S', 0, 1, 'D', 100):GATHER=[-20.0]
('S', 0, 1, 'R', 0):NONE=[0]
('S', 0, 1, 'R', 25):GATHER=[-20.0]
('S', 0, 1, 'R', 50):GATHER=[-20.0]
('S', 0, 1, 'R', 75):GATHER=[-20.0]
('S', 0, 1, 'R', 100):GATHER=[-20.0]
('S', 0, 2, 'D', 0):NONE=[0]
('S', 0, 2, 'D', 25):GATHER=[-20.0]
('S', 0, 2, 'D', 50):GATHER=[-20.0]
('S', 0, 2, 'D', 75):GATHER=[-20.0]
('S', 0, 2, 'D', 100):GATHER=[-20.0]
('S', 0, 2, 'R', 0):NONE=[0]
('S', 0, 2, 'R', 25):GATHER=[-20.0]
('S', 0, 2, 'R', 50):GATHER=[-20.0]
('S', 0, 2, 'R', 75):GATHER=[-20.0]
('S', 0, 2, 'R', 100):GATHER=[-20.0]
('S', 0, 3, 'D', 0):NONE=[0]
('S', 0, 3, 'D', 25):GATHER=[-20.0]
('S', 0, 3, 'D', 50):GATHER=[-20.0]
